"File Name","File Content"
"CCTV.txt","CCTV
안전을 목적으로 한 CCTV가 공간에 설치되어있는 경우 호스트는 게스트에게 위 사실을 필수로 고지해야하며 예약 이전에 CCTV의 유무를 공지하지 않은 경우 호스트의 계정은 영구정지 됩니다. 또한 피해를 입은 게스트에게는 예약에 대한 전액 환불이 이루어집니다."
"간편결제 환불 소요시간.txt","간편결제 환불 소요시간
간편결제로 결제하신 경우 다락방의 취소 처리가 완료된 뒤 PG사 처리기준으로 평일 4~5일 이후 결제에 사용한 계좌, 카드 또는 포인트로 환불됩니다. 이 때 결제 취소 시점과 해당 은행사의 업무처리기간에 따라 차이가 발생할 수 있습니다."
"게스트 이용정지.txt","게스트 이용정지
게스트가 이용후기를 허위로 작성하는 경우 사실 확인 후  내부 심사를 거쳐 자동으로 회원 탈퇴가 진행됩니다. 마찬가지로 공간을 이용한 뒤 이용하지 않았다고 허위신고를 할 때에도 회원 탈퇴가 진행됩니다."
"결제취소, 환불 신청.txt","결제취소, 환불 신청
결제취소 및 환불은 마이페이지의 예약 리스트에서 하실 수 있습니다."
"공간예약방식.txt","공간예약 방식
공간 예약 방식에는 1. 신청과 동시에 예약 확정, 바로결제 유형 2. 호스트 예약 승인 후 결제 유형 3. 호스트 예약 승인 유형이 있습니다.
"
"네이버페이 결제취소.txt","네이버 페이 결제취소
네이버 페이로 결제하신 경우 결제 후 2시간 이내 또는 공간 사용일 8일 전까지 수수료가 부과되지 않습니다. 공간 사용일 7일전부터 공간 사용일 당일 이내에 취소한 경우에는 호스트가 정한 환불률에 따릅니다. 결제한 당일이 공간 사용일로부터 8일 이내라면 호스트가 정한 환불률에 따라 취소 수수료가 부과됩니다."
"변경 확정된 예약 취소.txt","변경 확정된 예약 취소
변경 확정된 예약을 취소하실 경우 변경된 이용일을 기준으로 호스트가 지정한 환불률에 따라 환불됩니다."
"분쟁처리.txt","분쟁처리
본 회사는 중개인으로서 분쟁상황 발생시 책임은 게스트와 호스트 당사자에게 있습니다. 다락방은 시스템에 기록된 공간 대여비에 대해서만 환불, 취소와 같은 시스템적 도움을 제공하며 그 외의 부가적인 서비스비용에 대해서는 책임을 지지 않습니다. 
만일 법적 분쟁 및 소송이 발생할 경우 결제된 내역에 대해서만 환불처리 가능한 범위에서 진행하며 호스트가 작성한 내용과 다를 때에는 게스트의 환불이 가능합니다. 
"
"신용카드 결제취소.txt","결제취소 수수료
결제 취소 시 수수료는 취소 및 환불 신청기간, 신청자의 결제 수단에 따라 적용됩니다.
신용카드 결제시 결제 후 2시간 이내 혹은 공간 사용일 8일 이전까지 수수료가 없으며 공간 사용일 7일전부터 공간 사용일 당일까지는 호스트가 정환 환불률에 따릅니다. 만일 결제 당일이 공간 사용일 8일 이내인 경우에는 호스트가 정한 환불률에 따라 환불이 진행됩니다."
"실시간 계좌이체 결제취소.txt","실시간 계좌이체 결제취소
실시간으로 계좌이체를 하신 경우 결제 후 2시간 이내에는 수수료가 발생하지 않습니다. 공간 사용일 8일 전에 취소를 하신 경우 1.98%의 예약 취소 수수료가 부과되며 공간 사용일 7일전부터 공간 사용일 당일 이내에 취소한 경우 호스트가 정한 환불률에 따릅니다. 만일 결제한 당일이 공간 사용일로부터 8일 이내인 경우에는 호스트가 정한 환불률에 따라 취소 수수료가 부과됩니다."
"실시간 계좌이체 환불 소요시간.txt","실시간 계좌이체 환불 소요시간
실시간 계좌이체를 사용하여 지불하신 경우 다락방에서의 취소 처리가 완료된 후 PG사 처리 기준, 일반적으로 4~5일 이후 결제에 사용한 계좌로 환불됩니다. 결제 취소 시점과 해당 은행사의 업무처리기간에 따라 시간은 다소 차이가 있을 수 있습니다.
"
"예약변경.txt","예약변경
예약변경 신청은 1회만 가능합니다. 예약변경을 통해 예약변경이 이루어진 경우 기존 예약은 취소됩니다. 변경된 예약에 대한 환불 기준은 호스트가 지정한 환불률에 따라 진행됩니다. "
"최저 결제 금액.txt","최저 결제 금액
최저 결제 금액은 1000원이며 부분 환불시 비율에 따라 1000원 미만 500원 이상의 결제가 가능합니다. 5000원 미만의 금액에 대해서는 전체 취소 또는 전체 환불만 가능합니다."
"카드환불 소요시간.txt","카드환불 소요시간
체크카드 또는 신용카드로 결제하신 경우 다락방의 취소 처리가 완료된 뒤 4-7일 후 카드사의 취소가 확인됩니다. 그러나 결제 취소 날짜와 카드사의 환불 처리 기준에 따라 금액의 환급 방법과 환급일은 차이가 있을 수 있습니다."
"쿠폰 결제취소.txt","쿠폰 결제취소
쿠폰을 사용해 결제하신 경우 결제 후 2시간 이내, 공간 사용일 8일 전까지 수수료가 부과되지 않습니다. 공간 사용일 7일전부터 공간 사용일 당일 이내에 취소한 경우에는 호스트가 정한 환불률에 따릅니다. 결제한 당일이 공간 사용일로부터 8일 이내라면 호스트가 정한 환불률에 따라 취소 수수료가 부과됩니다."
"호스트의 공간 허위 작성.txt","호스트의 공간 허위 작성
호스트가 허위로 공간 내역을 작성했을 경우 호스트는 내부 심사를 거친 후 회원에서 탈퇴됩니다. "
